Id;Brand;Model;Generation;Version;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Avg weight;Price
631;renault;espace;4 (2002 - 2014);espace 4 phase 4;465.6;186.0;180.1;280.3;0;0;0;0;1990.0;17536.53125
632;renault;espace;4 (2002 - 2014);espace 4 phase 3;465.6;186.0;172.8;280.3;1998;1998;136;136;1797.5;17536.53125
633;renault;espace;4 (2002 - 2014);espace 4 phase 2;466.0;186.0;173.0;280.0;0;0;0;0;1793.5;17536.53125
634;renault;espace;4 (2002 - 2014);espace 4 phase 1;465.6;186.0;172.8;280.3;1998;3498;136;241;1795.0;17536.53125
635;renault;espace;espace 5 - 2015 new model (2015 - 2020);espace 5;485.7;188.8;167.5;288.4;1618;1798;200;224;1749.5;67001.15625
636;renault;espace;espace 5 - 2020 facelift (2020 - 2023);espace 2020;485.7;188.8;167.5;288.4;1798;1798;225;225;1821.0;67001.15625
637;renault;fluence;fluence 1 (2009 - 2013);fluence phase 1;461.8;180.9;147.9;270.2;1598;1997;106;140;1330.0;22888.375
638;renault;fluence;fluence 2 (2013 - present);fluence phase 2;461.8;180.9;147.9;270.2;1598;1997;110;140;1376.0;22888.375
639;renault;grand-espace;1 (1984 - 1991);espace 1;436.0;178.0;166.0;258.0;1995;2165;101;120;1354.0;73982.125
640;renault;grand-espace;2 (1991 - 1997);espace 2;443.0;180.0;169.0;258.0;1995;2849;105;152;1427.0;73982.125
641;renault;grand-espace;3 (1996 - 2002);grand espace 1;479.0;181.0;169.0;287.0;1998;2946;115;194;1600.0;9325.0
642;renault;grand-espace;3 (1996 - 2002);espace 3;451.7;181.0;169.0;270.2;1998;2963;115;194;1560.0;9325.0
643;renault;grand-espace;4 (2002 - 2014);grand espace 2 phase 4;485.6;186.0;181.9;286.8;0;0;0;0;2015.5;21412.46875
644;renault;grand-espace;4 (2002 - 2014);grand espace 2 phase 3;485.6;186.0;174.6;286.8;3498;3498;241;241;1868.5;21412.46875
645;renault;grand-espace;4 (2002 - 2014);grand espace 2 phase 2;486.0;186.0;175.0;287.0;1998;3498;170;245;1790.0;21412.46875
646;renault;grand-espace;4 (2002 - 2014);grand espace 2 phase 1;486.1;186.0;174.6;286.8;1998;3498;165;245;1875.0;21412.46875
647;renault;grand-espace;4 (2002 - 2014);espace 4 phase 1;465.6;186.0;172.8;280.3;1998;3498;136;241;1795.0;21412.46875
648;renault;grand-espace;espace 5 - 2015 new model (2015 - 2020);espace 5;485.7;188.8;167.5;288.4;1618;1798;200;224;1749.5;67001.15625
649;renault;grand-espace;espace 5 - 2020 facelift (2020 - 2023);espace 2020;485.7;188.8;167.5;288.4;1798;1798;225;225;1821.0;73982.125
